citizen,agedef,age,unit,sex,geo\time	2016 	2015 	2014 	2013 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,M,NL	44 	43 	36 	34 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,M,NO	16 	9 	11 	10 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,M,PL	60 ep	33 p	119 p	114 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,M,PT	7 e	3 e	3 	1 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,M,SE	19 	16 	22 	23 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,M,SK	2 p	0 p	2 p	1 p
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,BE	55 	76 	62 	52 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,BG	23 p	22 p	20 p	22 p
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,CH	104 	100 	109 	104 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,CY	9 	0 	0 	33 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,CZ	37 	17 	18 	18 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,DE	391 b	421 e	441 	388 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,DK	32 	20 	17 	23 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,EE	5 	5 b	4 	3 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,ES	501 	414 	382 	351 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,FI	10 	10 	7 	5 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,FR	209 	222 	203 	175 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,HR	11 	14 	21 	12 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,HU	41 	45 	45 	54 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,IS	6 	2 	2 	3 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,IT	171 	133 	159 	134 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,LI	1 	1 	0 	0 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,LT	2 	3 	1 	4 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,LU	7 	15 	7 	9 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,LV	3 	4 	0 	3 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,NL	74 	71 	70 	53 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,NO	27 	14 	23 	20 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,PL	77 ep	49 p	156 p	144 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,PT	15 e	19 e	4 	2 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,SE	34 	30 	38 	34 
EXT_FOR_HDI_VH,REACH,Y60-64,NR,T,SK	2 p	0 p	2 p	1 p
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,BE	9 	7 	14 	13 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,BG	9 p	3 	7 p	15 p
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,CH	21 	13 	19 	16 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,CY	0 	0 	0 	157 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,CZ	10 	4 	6 	8 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,DE	96 b	101 e	107 	111 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,DK	3 	5 	9 	6 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,EE	0 	1 b	0 	2 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,ES	232 	213 	175 	183 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,FI	1 	3 	0 	1 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,FR	80 	101 	68 	83 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,HR	9 	10 	10 	4 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,HU	10 	16 	14 	10 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,IS	3 	0 	0 	2 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,IT	63 	75 	70 	56 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,LI	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,LT	0 	1 	0 	0 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,LU	1 	5 	0 	1 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,LV	1 	1 	0 	2 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,NL	13 	21 	21 	17 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,NO	7 	5 	5 	3 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,PL	11 ep	8 p	34 p	41 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,PT	7 e	7 e	2 	1 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,SE	8 	13 	14 	10 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,F,SK	0 p	0 p	0 p	1 p
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,BE	24 	18 	13 	14 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,BG	20 p	15 	20 p	27 p
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,CH	26 	28 	24 	31 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,CY	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,CZ	20 	3 	7 	10 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,DE	144 b	178 e	167 	165 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,DK	8 	7 	9 	5 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,EE	3 	2 b	2 	0 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,ES	198 	182 	164 	146 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,FI	5 	8 	3 	9 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,FR	87 	105 	85 	83 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,HR	13 	14 	5 	4 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,HU	18 	21 	19 	23 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,IS	2 	0 	0 	1 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,IT	94 	99 	73 	72 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,LI	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,LT	1 	1 	2 	0 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,LU	5 	1 	1 	5 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,LV	1 	0 	1 	2 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,NL	28 	27 	22 	24 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,NO	8 	0 	13 	7 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,PL	31 ep	50 p	46 p	111 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,PT	7 e	3 e	1 	1 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,SE	10 	10 	16 	12 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,M,SK	0 p	2 p	1 p	0 p
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,BE	33 	25 	27 	27 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,BG	29 p	18 p	27 p	42 p
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,CH	47 	41 	43 	47 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,CY	0 	0 	0 	157 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,CZ	30 	7 	13 	18 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,DE	240 b	279 e	274 	276 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,DK	11 	12 	18 	11 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,EE	3 	3 b	2 	2 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,ES	430 	395 	339 	329 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,FI	6 	11 	3 	10 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,FR	167 	206 	153 	166 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,HR	22 	24 	15 	8 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,HU	28 	37 	33 	33 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,IS	5 	0 	0 	3 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,IT	157 	174 	143 	128 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,LI	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,LT	1 	2 	2 	0 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,LU	6 	6 	1 	6 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,LV	2 	1 	1 	4 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,NL	41 	48 	43 	41 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,NO	15 	5 	18 	10 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,PL	42 ep	58 p	80 p	152 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,PT	14 e	10 e	3 	2 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,SE	18 	23 	30 	22 
EXT_FOR_HDI_VH,REACH,Y65-69,NR,T,SK	0 p	2 p	1 p	1 p
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,BE	8 	5 	4 	5 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,BG	4 p	3 	1 p	2 p
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,CH	7 	9 	12 	7 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,CY	28 	0 	13 	0 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,CZ	6 	2 	2 	3 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,DE	61 b	75 e	69 	59 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,DK	2 	2 	1 	3 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,EE	0 	0 b	0 	1 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,ES	143 	162 	117 	116 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,FI	1 	0 	0 	1 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,FR	34 	34 	32 	39 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,HR	1 	3 	4 	3 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,HU	4 	3 	2 	5 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,IS	0 	1 	0 	1 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,IT	36 	26 	31 	34 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,LI	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,LT	1 	0 	0 	1 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,LU	1 	2 	0 	0 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,LV	0 	0 	1 	0 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,NL	7 	2 	12 	5 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,NO	3 	4 	1 	4 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,PL	0 ep	7 p	0 p	24 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,PT	4 e	2 e	1 	0 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,SE	6 	6 	0 	7 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,F,SK	0 p	0 p	0 p	0 p
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,BE	10 	5 	4 	7 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,BG	7 p	3 	8 p	11 p
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,CH	11 	8 	6 	9 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,CY	0 	0 	21 	0 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,CZ	8 	2 	5 	3 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,DE	63 b	89 e	88 	76 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,DK	5 	7 	4 	6 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,EE	0 	0 b	1 	2 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,ES	121 	126 	96 	86 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,FI	2 	2 	2 	1 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,FR	35 	76 	10 	54 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,HR	6 	7 	6 	4 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,HU	9 	9 	8 	6 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,IS	0 	1 	0 	2 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,IT	39 	55 	41 	57 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,LI	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,LT	1 	1 	0 	0 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,LU	0 	4 	2 	0 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,LV	1 	1 	2 	2 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,NL	9 	8 	11 	11 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,NO	1 	2 	2 	4 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,PL	18 ep	9 p	67 p	28 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,PT	2 e	2 e	0 	0 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,SE	10 	6 	9 	9 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,M,SK	0 p	0 p	1 p	0 p
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,BE	18 	10 	8 	12 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,BG	11 p	6 p	9 p	13 p
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,CH	18 	17 	18 	16 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,CY	28 	0 	34 	0 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,CZ	14 	4 	7 	6 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,DE	124 b	164 e	157 	135 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,DK	7 	9 	5 	9 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,EE	0 	0 b	1 	3 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,ES	264 	288 	213 	202 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,FI	3 	2 	2 	2 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,FR	69 	110 	42 	93 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,HR	7 	10 	10 	7 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,HU	13 	12 	10 	11 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,IS	0 	2 	0 	3 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,IT	75 	81 	72 	91 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,LI	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,LT	2 	1 	0 	1 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,LU	1 	6 	2 	0 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,LV	1 	1 	3 	2 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,NL	16 	10 	23 	16 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,NO	4 	6 	3 	8 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,PL	18 ep	16 p	67 p	52 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,PT	6 e	4 e	1 	0 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,SE	16 	12 	9 	16 
EXT_FOR_HDI_VH,REACH,Y70-74,NR,T,SK	0 p	0 p	1 p	0 p
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,BE	3 	2 	2 	3 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,BG	1 p	1 	1 p	0 p
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,CH	5 	6 	8 	11 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,CY	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,CZ	1 	0 	0 	1 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,DE	39 b	35 e	44 	29 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,DK	0 	1 	2 	1 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,EE	0 	0 b	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,ES	101 	71 	74 	70 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,FI	0 	0 	0 	1 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,FR	48 	45 	14 	5 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,HR	2 	0 	1 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,HU	2 	3 	3 	2 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,IS	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,IT	22 	26 	29 	18 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,LI	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,LT	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,LU	0 	0 	1 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,LV	2 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,NL	4 	3 	3 	3 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,NO	0 	1 	1 	1 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,PL	6 ep	7 p	8 p	5 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,PT	0 e	0 e	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,SE	1 	0 	0 	1 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,F,SK	0 p	0 p	0 p	0 p
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,BE	2 	5 	4 	2 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,BG	4 p	2 	1 p	5 p
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,CH	6 	6 	4 	9 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,CY	0 	0 	0 	81 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,CZ	3 	1 	0 	1 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,DE	39 b	54 e	52 	50 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,DK	1 	1 	7 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,EE	0 	0 b	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,ES	68 	54 	54 	56 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,FI	0 	1 	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,FR	15 	6 	0 	38 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,HR	6 	2 	1 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,HU	5 	5 	2 	2 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,IS	1 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,IT	24 	27 	15 	24 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,LI	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,LT	1 	1 	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,LU	0 	0 	1 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,LV	2 	0 	0 	2 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,NL	8 	3 	6 	4 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,NO	2 	5 	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,PL	17 ep	6 p	8 p	4 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,PT	0 e	1 e	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,SE	5 	0 	3 	2 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,M,SK	0 p	0 p	0 p	0 p
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,BE	5 	7 	6 	5 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,BG	5 p	3 p	2 p	5 p
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,CH	11 	12 	12 	20 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,CY	0 	0 	0 	81 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,CZ	4 	1 	0 	2 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,DE	78 b	89 e	96 	79 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,DK	1 	2 	9 	1 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,EE	0 	0 b	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,ES	169 	125 	128 	126 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,FI	0 	1 	0 	1 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,FR	63 	51 	14 	43 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,HR	8 	2 	2 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,HU	7 	8 	5 	4 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,IS	1 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,IT	46 	53 	44 	42 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,LI	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,LT	1 	1 	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,LU	0 	0 	2 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,LV	4 	0 	0 	2 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,NL	12 	6 	9 	7 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,NO	2 	6 	1 	1 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,PL	23 ep	13 p	16 p	9 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,PT	0 e	1 e	0 	0 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,SE	6 	0 	3 	3 
EXT_FOR_HDI_VH,REACH,Y75-79,NR,T,SK	0 p	0 p	0 p	0 p
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,BE	1 	1 	1 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,BG	1 p	0 	1 p	1 p
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,CH	3 	2 	1 	4 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,CY	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,CZ	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,DE	16 b	16 e	23 	18 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,DK	0 	0 	2 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,EE	0 	0 b	0 	1 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,ES	75 	55 	56 	66 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,FI	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,FR	14 	5 	5 	14 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,HR	0 	1 	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,HU	2 	1 	1 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,IS	0 	0 	0 	1 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,IT	19 	17 	9 	22 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,LI	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,LT	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,LU	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,LV	0 	1 	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,NL	2 	2 	2 	3 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,NO	4 	0 	0 	1 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,PL	0 ep	0 p	5 p	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,PT	1 e	0 e	1 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,SE	0 	0 	0 	1 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,F,SK	0 p	0 p	0 p	0 p
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,BE	1 	0 	1 	1 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,BG	0 p	2 	0 p	1 p
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,CH	6 	2 	2 	4 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,CY	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,CZ	1 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,DE	20 b	19 e	16 	26 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,DK	1 	0 	1 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,EE	0 	0 b	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,ES	40 	24 	47 	36 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,FI	0 	0 	1 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,FR	5 	40 	5 	5 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,HR	1 	2 	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,HU	4 	0 	0 	1 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,IS	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,IT	12 	6 	17 	24 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,LI	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,LT	0 	0 	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,LU	0 	1 	0 	1 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,LV	0 	1 	2 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,NL	3 	5 	4 	3 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,NO	4 	2 	1 	1 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,PL	3 ep	0 p	5 p	5 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,PT	0 e	0 e	0 	0 
EXT_FOR_HDI_VH,REACH,Y80-84,NR,M,SE	1 	0 	2 	3 
