age,c_birth,unit,sex,geo\time	2017 	2016 	2015 	2014 
Y25-29,TOTAL,NR,F,LV	66722 	69091 	70313 	71719 
Y25-29,TOTAL,NR,F,MT	17829 	16865 	15914 	15062 
Y25-29,TOTAL,NR,F,NL	538064 	530212 	521274 	514258 
Y25-29,TOTAL,NR,F,NO	180859 	177828 	173618 	168242 
Y25-29,TOTAL,NR,F,PL	1338299 ep	1368122 p	1409281 p	1457490 p
Y25-29,TOTAL,NR,F,PT	275467 	278985 	283713 	294052 
Y25-29,TOTAL,NR,F,RO	617754 	655431 	672750 	667814 e
Y25-29,TOTAL,NR,F,SE	346470 	333430 	320517 	308494 
Y25-29,TOTAL,NR,F,SI	59638 	61681 	63744 	65586 
Y25-29,TOTAL,NR,F,SK	194699 	198001 	202244 	206449 
Y25-29,TOTAL,NR,F,UK	2241006 	2228714 	2206156 	2186521 
Y25-29,TOTAL,NR,M,AT	305726 	299605 	288635 	282610 
Y25-29,TOTAL,NR,M,BE	370223 	366995 	357776 	354157 
Y25-29,TOTAL,NR,M,BG	239641 	247953 	251020 	253073 
Y25-29,TOTAL,NR,M,CH	288343 	283314 	278301 	274522 
Y25-29,TOTAL,NR,M,CY	35636 	35449 	35953 	36130 
Y25-29,TOTAL,NR,M,CZ	350383 	352844 	357001 	361884 
Y25-29,TOTAL,NR,M,DE	: 	2798715 	2652021 	2579372 
Y25-29,TOTAL,NR,M,DK	190982 	184872 	176161 	169199 
Y25-29,TOTAL,NR,M,EE	50529 	51769 	51382 b	50299 
Y25-29,TOTAL,NR,M,EL	293909 	295771 	306636 	320257 
Y25-29,TOTAL,NR,M,ES	1264891 	1284350 	1321886 	1376954 
Y25-29,TOTAL,NR,M,FI	178544 	175568 	174020 	174367 
Y25-29,TOTAL,NR,M,FR	1936580 p	1948883 p	1953731 p	1948321 
Y25-29,TOTAL,NR,M,HR	129474 	132112 	135539 	140028 
Y25-29,TOTAL,NR,M,HU	320288 	317405 	315549 	312644 
Y25-29,TOTAL,NR,M,IE	144336 	144916 	144504 	148881 
Y25-29,TOTAL,NR,M,IS	13495 	12583 	11839 	11581 
Y25-29,TOTAL,NR,M,IT	1654258 	1653304 	1659045 	1666824 
Y25-29,TOTAL,NR,M,LI	1176 	1158 	1177 	1158 
Y25-29,TOTAL,NR,M,LT	99841 	100667 	100274 	99565 
Y25-29,TOTAL,NR,M,LU	22000 b	21481 	20378 	19769 
Y25-29,TOTAL,NR,M,LV	70433 	73089 	74489 	75305 
Y25-29,TOTAL,NR,M,MT	19111 	18287 	17345 	16564 
Y25-29,TOTAL,NR,M,NL	552023 	540790 	529400 	522520 
Y25-29,TOTAL,NR,M,NO	187079 	184011 	179823 	173836 
Y25-29,TOTAL,NR,M,PL	1393916 ep	1423888 p	1466254 p	1516379 p
Y25-29,TOTAL,NR,M,PT	276452 	278464 	282792 	291690 
Y25-29,TOTAL,NR,M,RO	673853 	701855 	732741 	724596 e
Y25-29,TOTAL,NR,M,SE	365217 	348983 	335238 	322761 
Y25-29,TOTAL,NR,M,SI	64210 	66491 	69046 	71213 
Y25-29,TOTAL,NR,M,SK	202208 	205716 	209940 	214638 
Y25-29,TOTAL,NR,M,UK	2287511 	2259919 	2219100 	2183710 
Y25-29,TOTAL,NR,T,AT	598504 	587787 	570027 	559979 
Y25-29,TOTAL,NR,T,BE	738490 	731621 	716082 	709177 
Y25-29,TOTAL,NR,T,BG	465523 	481408 	486621 	488936 
Y25-29,TOTAL,NR,T,CH	568581 	560587 	551444 	543207 
Y25-29,TOTAL,NR,T,CY	71603 	71225 	71655 	72646 
Y25-29,TOTAL,NR,T,CZ	685593 	690104 	696939 	704759 
Y25-29,TOTAL,NR,T,DE	: 	5387681 	5166826 	5046426 
Y25-29,TOTAL,NR,T,DK	374117 	361983 	346358 	333707 
Y25-29,TOTAL,NR,T,EE	96576 	99140 	99054 b	97499 
Y25-29,TOTAL,NR,T,EL	586211 	593655 	611122 	634151 
Y25-29,TOTAL,NR,T,ES	2518768 	2564166 	2640340 	2749308 
Y25-29,TOTAL,NR,T,FI	347839 	342528 	339565 	339934 
Y25-29,TOTAL,NR,T,FR	3927086 p	3957932 p	3969027 p	3954024 
Y25-29,TOTAL,NR,T,HR	254011 	260048 	266817 	275367 
Y25-29,TOTAL,NR,T,HU	620563 	616224 	613342 	610086 
Y25-29,TOTAL,NR,T,IE	293702 	297345 	300545 	309754 
Y25-29,TOTAL,NR,T,IS	25701 	24370 	23234 	22751 
Y25-29,TOTAL,NR,T,IT	3249766 	3260703 	3282413 	3303115 
Y25-29,TOTAL,NR,T,LI	2287 	2286 	2290 	2292 
Y25-29,TOTAL,NR,T,LT	193381 	195893 	195337 	194446 
Y25-29,TOTAL,NR,T,LU	43165 b	41908 	40196 	38940 
Y25-29,TOTAL,NR,T,LV	137155 	142180 	144802 	147024 
Y25-29,TOTAL,NR,T,MT	36940 	35152 	33259 	31626 
Y25-29,TOTAL,NR,T,NL	1090087 	1071002 	1050674 	1036778 
Y25-29,TOTAL,NR,T,NO	367938 	361839 	353441 	342078 
Y25-29,TOTAL,NR,T,PL	2732215 ep	2792010 p	2875535 p	2973869 p
Y25-29,TOTAL,NR,T,PT	551919 	557449 	566505 	585742 
Y25-29,TOTAL,NR,T,RO	1291607 	1357286 	1405491 	1392410 e
Y25-29,TOTAL,NR,T,SE	711687 	682413 	655755 	631255 
Y25-29,TOTAL,NR,T,SI	123848 	128172 	132790 	136799 
Y25-29,TOTAL,NR,T,SK	396907 	403717 	412184 	421087 
Y25-29,TOTAL,NR,T,UK	4528517 	4488633 	4425256 	4370231 
Y25-29,UNK,NR,F,AT	276 	225 	35 	3 
Y25-29,UNK,NR,F,BE	251 	239 	178 	155 
Y25-29,UNK,NR,F,BG	90 	72 	57 	33 
Y25-29,UNK,NR,F,CH	3305 	3698 	4023 	4399 
Y25-29,UNK,NR,F,CY	312 	317 	320 	281 
Y25-29,UNK,NR,F,CZ	0 	0 	0 	0 
Y25-29,UNK,NR,F,DK	35 	34 	33 	35 
Y25-29,UNK,NR,F,EE	1 	2 	3 b	7 
Y25-29,UNK,NR,F,EL	0 	0 	0 	0 
Y25-29,UNK,NR,F,ES	0 	0 	0 	0 
Y25-29,UNK,NR,F,FI	349 	318 	230 	193 
Y25-29,UNK,NR,F,FR	0 p	0 p	0 p	: 
Y25-29,UNK,NR,F,HR	118 	107 	106 	105 
Y25-29,UNK,NR,F,HU	10 	12 	12 	17 
Y25-29,UNK,NR,F,IE	57 	408 	304 	206 
Y25-29,UNK,NR,F,IS	29 	15 	10 	11 
Y25-29,UNK,NR,F,IT	0 e	0 	0 	0 
Y25-29,UNK,NR,F,LI	0 	3 	4 	2 
Y25-29,UNK,NR,F,LT	0 	0 	0 	0 
Y25-29,UNK,NR,F,LU	47 b	0 	0 	0 
Y25-29,UNK,NR,F,LV	0 	0 	0 	0 
Y25-29,UNK,NR,F,MT	0 	0 	0 	0 
Y25-29,UNK,NR,F,NL	0 	1 	0 	0 
Y25-29,UNK,NR,F,NO	0 	0 	0 	0 
Y25-29,UNK,NR,F,PL	365 ep	326 p	99 p	90 p
Y25-29,UNK,NR,F,PT	10 	10 	12 	17 
Y25-29,UNK,NR,F,RO	50 	53 	150 	114 e
Y25-29,UNK,NR,F,SE	60 	51 	49 	46 
Y25-29,UNK,NR,F,SI	0 	0 	0 	0 
Y25-29,UNK,NR,F,SK	0 	0 	0 	0 
Y25-29,UNK,NR,F,UK	571 	2495 	600 	3412 
Y25-29,UNK,NR,M,AT	684 	700 	149 	15 
Y25-29,UNK,NR,M,BE	441 	377 	232 	145 
Y25-29,UNK,NR,M,BG	69 	61 	40 	26 
Y25-29,UNK,NR,M,CH	3242 	3658 	4050 	4665 
Y25-29,UNK,NR,M,CY	282 	285 	285 	306 
Y25-29,UNK,NR,M,CZ	0 	0 	0 	0 
Y25-29,UNK,NR,M,DK	54 	58 	53 	48 
Y25-29,UNK,NR,M,EE	0 	1 	3 b	11 
Y25-29,UNK,NR,M,EL	0 	0 	0 	0 
Y25-29,UNK,NR,M,ES	0 	0 	0 	0 
Y25-29,UNK,NR,M,FI	477 	412 	371 	315 
Y25-29,UNK,NR,M,FR	0 p	0 p	0 p	: 
Y25-29,UNK,NR,M,HR	107 	105 	110 	119 
Y25-29,UNK,NR,M,HU	28 	23 	23 	16 
Y25-29,UNK,NR,M,IE	71 	344 	277 	197 
Y25-29,UNK,NR,M,IS	76 	21 	25 	21 
Y25-29,UNK,NR,M,IT	0 e	0 	0 	0 
Y25-29,UNK,NR,M,LI	0 	0 	1 	1 
Y25-29,UNK,NR,M,LT	0 	0 	0 	0 
Y25-29,UNK,NR,M,LU	65 b	0 	0 	0 
Y25-29,UNK,NR,M,LV	0 	0 	0 	0 
Y25-29,UNK,NR,M,MT	0 	0 	0 	0 
Y25-29,UNK,NR,M,NL	0 	0 	0 	0 
Y25-29,UNK,NR,M,NO	0 	0 	0 	0 
Y25-29,UNK,NR,M,PL	197 ep	246 p	159 p	160 p
Y25-29,UNK,NR,M,PT	12 	11 	14 	15 
Y25-29,UNK,NR,M,RO	104 	299 	462 	604 e
Y25-29,UNK,NR,M,SE	97 	75 	62 	59 
Y25-29,UNK,NR,M,SI	0 	0 	0 	0 
Y25-29,UNK,NR,M,SK	0 	0 	0 	0 
Y25-29,UNK,NR,M,UK	955 	2980 	1915 	1535 
Y25-29,UNK,NR,T,AT	960 	925 	184 	18 
Y25-29,UNK,NR,T,BE	692 	616 	410 	300 
Y25-29,UNK,NR,T,BG	159 	133 	97 	59 
Y25-29,UNK,NR,T,CH	6547 	7356 	8073 	9064 
Y25-29,UNK,NR,T,CY	594 	602 	605 	587 
Y25-29,UNK,NR,T,CZ	0 	0 	0 	0 
Y25-29,UNK,NR,T,DK	89 	92 	86 	83 
Y25-29,UNK,NR,T,EE	1 	3 	6 b	18 
Y25-29,UNK,NR,T,EL	0 	0 	0 	0 
Y25-29,UNK,NR,T,ES	0 	0 	0 	0 
Y25-29,UNK,NR,T,FI	826 	730 	601 	508 
Y25-29,UNK,NR,T,FR	0 p	0 p	0 p	: 
Y25-29,UNK,NR,T,HR	225 	212 	216 	224 
Y25-29,UNK,NR,T,HU	38 	35 	35 	33 
Y25-29,UNK,NR,T,IE	128 	752 	581 	403 
Y25-29,UNK,NR,T,IS	105 	36 	35 	32 
Y25-29,UNK,NR,T,IT	0 e	0 	0 	0 
Y25-29,UNK,NR,T,LI	0 	3 	5 	3 
Y25-29,UNK,NR,T,LT	0 	0 	0 	0 
Y25-29,UNK,NR,T,LU	112 b	0 	0 	0 
Y25-29,UNK,NR,T,LV	0 	0 	0 	0 
Y25-29,UNK,NR,T,MT	0 	0 	0 	0 
Y25-29,UNK,NR,T,NL	0 	1 	0 	0 
Y25-29,UNK,NR,T,NO	0 	0 	0 	0 
Y25-29,UNK,NR,T,PL	562 ep	572 p	258 p	250 p
Y25-29,UNK,NR,T,PT	22 	21 	26 	32 
Y25-29,UNK,NR,T,RO	154 	352 	612 	718 e
Y25-29,UNK,NR,T,SE	157 	126 	111 	105 
Y25-29,UNK,NR,T,SI	0 	0 	0 	0 
Y25-29,UNK,NR,T,SK	0 	0 	0 	0 
Y25-29,UNK,NR,T,UK	1526 	5475 	2515 	4947 
Y30-34,CC5_13_FOR_X_IS,NR,F,AT	16497 	16008 	15562 	14920 
Y30-34,CC5_13_FOR_X_IS,NR,F,BE	5130 	5296 	5418 	5501 
Y30-34,CC5_13_FOR_X_IS,NR,F,BG	565 	482 	395 	316 
Y30-34,CC5_13_FOR_X_IS,NR,F,CH	14002 	13725 	13349 	13051 
Y30-34,CC5_13_FOR_X_IS,NR,F,CY	: 	: 	: 	34 
Y30-34,CC5_13_FOR_X_IS,NR,F,CZ	284 	258 	: 	214 
Y30-34,CC5_13_FOR_X_IS,NR,F,DK	1738 	1882 	2076 	2232 
Y30-34,CC5_13_FOR_X_IS,NR,F,EE	7 	6 	4 	2 
Y30-34,CC5_13_FOR_X_IS,NR,F,EL	: 	: 	: 	845 
Y30-34,CC5_13_FOR_X_IS,NR,F,ES	: 	: 	610 	612 
Y30-34,CC5_13_FOR_X_IS,NR,F,FI	356 	351 	332 	308 
Y30-34,CC5_13_FOR_X_IS,NR,F,FR	: 	: 	: 	20301 
Y30-34,CC5_13_FOR_X_IS,NR,F,HR	: 	: 	: 	1830 
Y30-34,CC5_13_FOR_X_IS,NR,F,HU	: 	1855 	1701 	1580 
Y30-34,CC5_13_FOR_X_IS,NR,F,IE	: 	: 	: 	148 
Y30-34,CC5_13_FOR_X_IS,NR,F,IS	38 	32 	35 	35 
Y30-34,CC5_13_FOR_X_IS,NR,F,IT	7406 	7330 	: 	7147 
Y30-34,CC5_13_FOR_X_IS,NR,F,LI	47 	42 	49 	44 
Y30-34,CC5_13_FOR_X_IS,NR,F,LT	2 	0 	0 	1 
Y30-34,CC5_13_FOR_X_IS,NR,F,LU	381 	: 	: 	323 
Y30-34,CC5_13_FOR_X_IS,NR,F,LV	1 	1 	2 	0 
Y30-34,CC5_13_FOR_X_IS,NR,F,NL	7808 	8342 	8827 	9230 
Y30-34,CC5_13_FOR_X_IS,NR,F,NO	1457 	1374 	: 	1256 
Y30-34,CC5_13_FOR_X_IS,NR,F,PL	: 	: 	: 	70 p
Y30-34,CC5_13_FOR_X_IS,NR,F,PT	: 	: 	: 	59 
Y30-34,CC5_13_FOR_X_IS,NR,F,RO	223 	181 	: 	135 e
Y30-34,CC5_13_FOR_X_IS,NR,F,SE	3616 	3555 	: 	3330 
Y30-34,CC5_13_FOR_X_IS,NR,F,SI	1432 	1449 	1455 	1442 
Y30-34,CC5_13_FOR_X_IS,NR,F,SK	168 	157 	139 	127 
Y30-34,CC5_13_FOR_X_IS,NR,M,AT	17592 	17281 	16896 	16518 
Y30-34,CC5_13_FOR_X_IS,NR,M,BE	5236 	5570 	5921 	6197 
Y30-34,CC5_13_FOR_X_IS,NR,M,BG	1063 	901 	767 	721 
Y30-34,CC5_13_FOR_X_IS,NR,M,CH	14408 	14272 	14133 	14077 
Y30-34,CC5_13_FOR_X_IS,NR,M,CY	: 	: 	: 	34 
Y30-34,CC5_13_FOR_X_IS,NR,M,CZ	658 	568 	: 	499 
Y30-34,CC5_13_FOR_X_IS,NR,M,DK	1758 	1875 	1959 	2104 
Y30-34,CC5_13_FOR_X_IS,NR,M,EE	54 	46 	32 	23 
Y30-34,CC5_13_FOR_X_IS,NR,M,EL	: 	: 	: 	507 
Y30-34,CC5_13_FOR_X_IS,NR,M,ES	: 	: 	663 	662 
Y30-34,CC5_13_FOR_X_IS,NR,M,FI	820 	782 	747 	719 
Y30-34,CC5_13_FOR_X_IS,NR,M,FR	: 	: 	: 	22162 
Y30-34,CC5_13_FOR_X_IS,NR,M,HR	: 	: 	: 	1542 
Y30-34,CC5_13_FOR_X_IS,NR,M,HU	: 	2461 	2251 	2145 
Y30-34,CC5_13_FOR_X_IS,NR,M,IE	: 	: 	: 	177 
Y30-34,CC5_13_FOR_X_IS,NR,M,IS	36 	36 	33 	29 
Y30-34,CC5_13_FOR_X_IS,NR,M,IT	7961 	8097 	: 	8434 
Y30-34,CC5_13_FOR_X_IS,NR,M,LI	54 	54 	51 	52 
Y30-34,CC5_13_FOR_X_IS,NR,M,LT	0 	0 	0 	0 
Y30-34,CC5_13_FOR_X_IS,NR,M,LU	390 	: 	: 	352 
Y30-34,CC5_13_FOR_X_IS,NR,M,LV	23 	24 	20 	18 
Y30-34,CC5_13_FOR_X_IS,NR,M,NL	7454 	7713 	8208 	9035 
Y30-34,CC5_13_FOR_X_IS,NR,M,NO	1559 	1472 	: 	1453 
Y30-34,CC5_13_FOR_X_IS,NR,M,PL	: 	: 	: 	309 p
Y30-34,CC5_13_FOR_X_IS,NR,M,PT	: 	: 	: 	105 
Y30-34,CC5_13_FOR_X_IS,NR,M,RO	715 	654 	: 	581 e
Y30-34,CC5_13_FOR_X_IS,NR,M,SE	4726 	4721 	: 	4627 
Y30-34,CC5_13_FOR_X_IS,NR,M,SI	2086 	2057 	2233 	2188 
Y30-34,CC5_13_FOR_X_IS,NR,M,SK	224 	231 	235 	224 
Y30-34,CC5_13_FOR_X_IS,NR,T,AT	34089 	33289 	32458 	31438 
Y30-34,CC5_13_FOR_X_IS,NR,T,BE	10366 	10866 	11339 	11698 
Y30-34,CC5_13_FOR_X_IS,NR,T,BG	1628 	1383 	1162 	1037 
Y30-34,CC5_13_FOR_X_IS,NR,T,CH	28410 	27997 	27482 	27128 
Y30-34,CC5_13_FOR_X_IS,NR,T,CY	: 	: 	: 	68 
Y30-34,CC5_13_FOR_X_IS,NR,T,CZ	942 	826 	: 	713 
Y30-34,CC5_13_FOR_X_IS,NR,T,DK	3496 	3757 	4035 	4336 
Y30-34,CC5_13_FOR_X_IS,NR,T,EE	61 	52 	36 	25 
Y30-34,CC5_13_FOR_X_IS,NR,T,EL	: 	: 	: 	1352 
Y30-34,CC5_13_FOR_X_IS,NR,T,ES	: 	: 	1273 	1274 
Y30-34,CC5_13_FOR_X_IS,NR,T,FI	1176 	1133 	1079 	1027 
Y30-34,CC5_13_FOR_X_IS,NR,T,FR	: 	: 	: 	42463 
Y30-34,CC5_13_FOR_X_IS,NR,T,HR	: 	: 	: 	3372 
Y30-34,CC5_13_FOR_X_IS,NR,T,HU	: 	4316 	3952 	3725 
Y30-34,CC5_13_FOR_X_IS,NR,T,IE	: 	: 	: 	325 
Y30-34,CC5_13_FOR_X_IS,NR,T,IS	74 	68 	68 	64 
Y30-34,CC5_13_FOR_X_IS,NR,T,IT	15367 	15427 	: 	15581 
Y30-34,CC5_13_FOR_X_IS,NR,T,LI	101 	96 	100 	96 
Y30-34,CC5_13_FOR_X_IS,NR,T,LT	2 	0 	0 	1 
Y30-34,CC5_13_FOR_X_IS,NR,T,LU	771 	: 	: 	675 
Y30-34,CC5_13_FOR_X_IS,NR,T,LV	24 	25 	22 	18 
Y30-34,CC5_13_FOR_X_IS,NR,T,NL	15262 	16055 	17035 	18265 
Y30-34,CC5_13_FOR_X_IS,NR,T,NO	3016 	2846 	: 	2709 
Y30-34,CC5_13_FOR_X_IS,NR,T,PL	: 	: 	: 	379 p
Y30-34,CC5_13_FOR_X_IS,NR,T,PT	: 	: 	: 	164 
Y30-34,CC5_13_FOR_X_IS,NR,T,RO	938 	835 	: 	716 e
Y30-34,CC5_13_FOR_X_IS,NR,T,SE	8342 	8276 	: 	7957 
Y30-34,CC5_13_FOR_X_IS,NR,T,SI	3518 	3506 	3688 	3630 
Y30-34,CC5_13_FOR_X_IS,NR,T,SK	392 	388 	374 	351 
Y30-34,CC5_15_FOR,NR,F,AT	16732 	16226 	15758 	15117 
Y30-34,CC5_15_FOR,NR,F,BE	5772 	5889 	5974 	6010 
Y30-34,CC5_15_FOR,NR,F,BG	602 	520 	427 	351 
Y30-34,CC5_15_FOR,NR,F,CH	14297 	13981 	13574 	13243 
Y30-34,CC5_15_FOR,NR,F,CY	35 	35 	35 	: 
Y30-34,CC5_15_FOR,NR,F,CZ	309 	280 	262 	230 
Y30-34,CC5_15_FOR,NR,F,DK	1789 	1932 	2116 	2265 
Y30-34,CC5_15_FOR,NR,F,EE	9 	7 	5 b	2 
Y30-34,CC5_15_FOR,NR,F,EL	22480 	24292 	26640 	: 
Y30-34,CC5_15_FOR,NR,F,ES	903 	837 	823 	792 
Y30-34,CC5_15_FOR,NR,F,FI	380 	366 	343 	319 
Y30-34,CC5_15_FOR,NR,F,FR	19993 p	19439 p	20773 p	: 
Y30-34,CC5_15_FOR,NR,F,HR	1856 	1882 	1919 	: 
Y30-34,CC5_15_FOR,NR,F,HU	1869 	1867 	1717 	1594 
Y30-34,CC5_15_FOR,NR,F,IE	142 	89 	88 	: 
Y30-34,CC5_15_FOR,NR,F,IS	49 	37 	40 	38 
Y30-34,CC5_15_FOR,NR,F,IT	39639 e	38517 	37431 	35915 
Y30-34,CC5_15_FOR,NR,F,LI	47 	42 	49 	44 
Y30-34,CC5_15_FOR,NR,F,LT	2 	0 	0 	1 
Y30-34,CC5_15_FOR,NR,F,LU	452 b	350 	336 	: 
Y30-34,CC5_15_FOR,NR,F,LV	1 	1 	2 	0 
Y30-34,CC5_15_FOR,NR,F,MT	277 	176 	86 	42 
Y30-34,CC5_15_FOR,NR,F,NL	7984 	8503 	8982 	9371 
Y30-34,CC5_15_FOR,NR,F,NO	1600 	1495 	1367 	1324 
Y30-34,CC5_15_FOR,NR,F,PL	155 ep	109 p	84 p	: 
Y30-34,CC5_15_FOR,NR,F,PT	65 	71 	62 	: 
Y30-34,CC5_15_FOR,NR,F,RO	244 	194 	145 	142 
Y30-34,CC5_15_FOR,NR,F,SE	3872 	3755 	3637 	: 
Y30-34,CC5_15_FOR,NR,F,SI	1445 	1463 	1465 	1451 
Y30-34,CC5_15_FOR,NR,F,SK	170 	162 	145 	134 
Y30-34,CC5_15_FOR,NR,F,UK	7861 	9057 	6466 	8993 
Y30-34,CC5_15_FOR,NR,M,AT	17838 	17497 	17085 	16680 
Y30-34,CC5_15_FOR,NR,M,BE	5847 	6117 	6426 	6679 
Y30-34,CC5_15_FOR,NR,M,BG	1132 	962 	823 	778 
Y30-34,CC5_15_FOR,NR,M,CH	14624 	14460 	14289 	14220 
Y30-34,CC5_15_FOR,NR,M,CY	37 	36 	35 	: 
Y30-34,CC5_15_FOR,NR,M,CZ	713 	621 	605 	549 
Y30-34,CC5_15_FOR,NR,M,DK	1801 	1910 	1988 	2127 
Y30-34,CC5_15_FOR,NR,M,EE	60 	53 	40 b	26 
Y30-34,CC5_15_FOR,NR,M,EL	19180 	21718 	24916 	: 
Y30-34,CC5_15_FOR,NR,M,ES	882 	880 	850 	868 
Y30-34,CC5_15_FOR,NR,M,FI	904 	871 	840 	799 
Y30-34,CC5_15_FOR,NR,M,FR	20485 p	18829 p	21589 p	: 
Y30-34,CC5_15_FOR,NR,M,HR	1552 	1596 	1561 	: 
Y30-34,CC5_15_FOR,NR,M,HU	2554 	2482 	2279 	2174 
Y30-34,CC5_15_FOR,NR,M,IE	223 	75 	93 	: 
Y30-34,CC5_15_FOR,NR,M,IS	45 	43 	38 	33 
Y30-34,CC5_15_FOR,NR,M,IT	40378 e	40699 	40849 	40138 
Y30-34,CC5_15_FOR,NR,M,LI	55 	55 	51 	52 
Y30-34,CC5_15_FOR,NR,M,LT	0 	0 	3 	0 
Y30-34,CC5_15_FOR,NR,M,LU	442 b	381 	366 	: 
Y30-34,CC5_15_FOR,NR,M,LV	24 	25 	22 	20 
Y30-34,CC5_15_FOR,NR,M,MT	350 	274 	152 	69 
Y30-34,CC5_15_FOR,NR,M,NL	7614 	7855 	8350 	9155 
Y30-34,CC5_15_FOR,NR,M,NO	1736 	1621 	1556 	1541 
Y30-34,CC5_15_FOR,NR,M,PL	552 ep	339 p	296 p	: 
Y30-34,CC5_15_FOR,NR,M,PT	63 	59 	57 	: 
Y30-34,CC5_15_FOR,NR,M,RO	813 	716 	608 	610 
Y30-34,CC5_15_FOR,NR,M,SE	5066 	5001 	4941 	: 
Y30-34,CC5_15_FOR,NR,M,SI	2090 	2064 	2240 	2196 
Y30-34,CC5_15_FOR,NR,M,SK	240 	248 	256 	248 
Y30-34,CC5_15_FOR,NR,M,UK	9797 	19535 	9863 	6805 
Y30-34,CC5_15_FOR,NR,T,AT	34570 	33723 	32843 	31797 
Y30-34,CC5_15_FOR,NR,T,BE	11619 	12006 	12400 	12689 
Y30-34,CC5_15_FOR,NR,T,BG	1734 	1482 	1250 	1129 
Y30-34,CC5_15_FOR,NR,T,CH	28921 	28441 	27863 	27463 
Y30-34,CC5_15_FOR,NR,T,CY	72 	71 	70 	: 
Y30-34,CC5_15_FOR,NR,T,CZ	1022 	901 	867 	779 
Y30-34,CC5_15_FOR,NR,T,DK	3590 	3842 	4104 	4392 
Y30-34,CC5_15_FOR,NR,T,EE	69 	60 	45 b	28 
Y30-34,CC5_15_FOR,NR,T,EL	41660 	46010 	51556 	: 
Y30-34,CC5_15_FOR,NR,T,ES	1785 	1717 	1673 	1660 
Y30-34,CC5_15_FOR,NR,T,FI	1284 	1237 	1183 	1118 
Y30-34,CC5_15_FOR,NR,T,FR	40478 p	38268 p	42362 p	: 
Y30-34,CC5_15_FOR,NR,T,HR	3408 	3478 	3480 	: 
Y30-34,CC5_15_FOR,NR,T,HU	4423 	4349 	3996 	3768 
Y30-34,CC5_15_FOR,NR,T,IE	365 	164 	181 	: 
Y30-34,CC5_15_FOR,NR,T,IS	94 	80 	78 	71 
Y30-34,CC5_15_FOR,NR,T,IT	80017 e	79216 	78280 	76053 
Y30-34,CC5_15_FOR,NR,T,LI	102 	97 	100 	96 
Y30-34,CC5_15_FOR,NR,T,LT	2 	0 	3 	1 
Y30-34,CC5_15_FOR,NR,T,LU	894 b	731 	702 	: 
Y30-34,CC5_15_FOR,NR,T,LV	25 	26 	24 	20 
Y30-34,CC5_15_FOR,NR,T,MT	627 	450 	238 	111 
Y30-34,CC5_15_FOR,NR,T,NL	15598 	16358 	17332 	18526 
Y30-34,CC5_15_FOR,NR,T,NO	3336 	3116 	2923 	2865 
Y30-34,CC5_15_FOR,NR,T,PL	707 ep	448 p	380 p	: 
Y30-34,CC5_15_FOR,NR,T,PT	128 	130 	119 	: 
Y30-34,CC5_15_FOR,NR,T,RO	1057 	910 	753 	752 
Y30-34,CC5_15_FOR,NR,T,SE	8938 	8756 	8578 	: 
Y30-34,CC5_15_FOR,NR,T,SI	3535 	3527 	3705 	3647 
Y30-34,CC5_15_FOR,NR,T,SK	410 	410 	401 	382 
Y30-34,CC5_15_FOR,NR,T,UK	17658 	28592 	16329 	15798 
Y30-34,EFTA_FOR,NR,F,AT	510 	493 	479 	482 
Y30-34,EFTA_FOR,NR,F,BE	269 	264 	256 	271 
Y30-34,EFTA_FOR,NR,F,BG	6 	5 	5 	4 
Y30-34,EFTA_FOR,NR,F,CH	159 	154 	145 	133 
Y30-34,EFTA_FOR,NR,F,CY	7 	7 	7 	7 
Y30-34,EFTA_FOR,NR,F,CZ	30 	21 	18 	7 
Y30-34,EFTA_FOR,NR,F,DK	1553 	1483 	1474 	1465 
Y30-34,EFTA_FOR,NR,F,EE	5 	4 	2 b	1 
Y30-34,EFTA_FOR,NR,F,EL	164 	168 	172 	186 
Y30-34,EFTA_FOR,NR,F,ES	2875 	2975 	3080 	3218 
Y30-34,EFTA_FOR,NR,F,FI	120 	120 	120 	118 
Y30-34,EFTA_FOR,NR,F,FR	2284 p	2545 p	2733 p	2795 
Y30-34,EFTA_FOR,NR,F,HR	96 	103 	132 	133 
Y30-34,EFTA_FOR,NR,F,HU	115 	112 	97 	103 
Y30-34,EFTA_FOR,NR,F,IE	136 	134 	129 	135 
Y30-34,EFTA_FOR,NR,F,IS	55 	62 	68 	54 
Y30-34,EFTA_FOR,NR,F,IT	4020 e	4539 	5069 	5838 
Y30-34,EFTA_FOR,NR,F,LI	585 	596 	643 	672 
Y30-34,EFTA_FOR,NR,F,LT	3 	3 	2 	0 
Y30-34,EFTA_FOR,NR,F,LU	51 b	71 	68 	66 
Y30-34,EFTA_FOR,NR,F,LV	1 	1 	1 	1 
Y30-34,EFTA_FOR,NR,F,MT	26 	18 	14 	10 
Y30-34,EFTA_FOR,NR,F,NL	416 	397 	400 	393 
Y30-34,EFTA_FOR,NR,F,NO	493 	540 	543 	499 
Y30-34,EFTA_FOR,NR,F,PL	65 ep	50 p	53 p	49 p
Y30-34,EFTA_FOR,NR,F,PT	389 	44 	203 	118 
Y30-34,EFTA_FOR,NR,F,RO	4 	3 	3 	2 e
Y30-34,EFTA_FOR,NR,F,SE	1492 	1410 	1419 	1398 
Y30-34,EFTA_FOR,NR,F,SI	20 	29 	35 	37 
